keyword_idx,region,match_type
7,B,Phrase match
6,B,Broad match
7,B,Exact match
7,A,Phrase match
7,A,Exact match
7,USA,Phrase match
7,USA,Exact match
6,C,Broad match
4,A,Exact match
4,USA,Phrase match
1,B,Phrase match
1,B,Exact match
1,A,Phrase match
1,A,Exact match
1,USA,Phrase match
1,USA,Exact match
1,C,Phrase match
0,C,Exact match
0,B,Exact match
0,B,Broad match
0,A,Phrase match
0,A,Exact match
0,A,Broad match
0,USA,Phrase match
0,USA,Exact match
2,USA,Exact match
2,USA,Phrase match
4,USA,Exact match
3,C,Phrase match
3,C,Exact match
3,B,Phrase match
3,A,Phrase match
3,USA,Phrase match
3,USA,Exact match
2,C,Phrase match
2,C,Exact match
2,B,Phrase match
2,B,Exact match
2,A,Phrase match
2,A,Exact match
17,A,Exact match
8,B,Exact match
14,C,Phrase match
14,C,Exact match
14,B,Phrase match
14,B,Exact match
14,A,Phrase match
14,A,Exact match
15,USA,Exact match
14,USA,Phrase match
13,B,Phrase match
13,B,Exact match
13,A,Phrase match
14,USA,Exact match
13,USA,Phrase match
15,USA,Phrase match
15,A,Exact match
17,USA,Phrase match
17,USA,Exact match
16,C,Phrase match
16,C,Exact match
16,B,Phrase match
16,B,Exact match
16,B,Broad match
16,A,Phrase match
16,A,Exact match
16,USA,Phrase match
16,USA,Exact match
16,USA,Broad match
15,C,Phrase match
15,C,Exact match
15,B,Phrase match
15,B,Exact match
15,A,Phrase match
16,A,Broad match
12,C,Phrase match
10,B,Exact match
10,A,Phrase match
10,A,Exact match
10,USA,Phrase match
10,USA,Exact match
9,C,Phrase match
9,C,Exact match
9,B,Exact match
9,A,Phrase match
9,A,Exact match
9,USA,Phrase match
9,USA,Exact match
8,C,Phrase match
8,C,Exact match
9,B,Phrase match
10,C,Exact match
10,C,Phrase match
12,C,Exact match
12,B,Phrase match
12,B,Exact match
12,A,Phrase match
12,A,Exact match
12,USA,Phrase match
12,USA,Exact match
11,C,Phrase match
11,C,Exact match
11,B,Phrase match
11,B,Exact match
11,A,Phrase match
11,A,Exact match
11,USA,Phrase match
11,USA,Exact match
11,USA,Broad match
8,B,Phrase match
34,C,Exact match
34,C,Phrase match
58,C,Exact match
58,B,Phrase match
58,B,Exact match
58,A,Phrase match
58,A,Exact match
58,USA,Phrase match
58,USA,Exact match
58,C,Phrase match
57,C,Exact match
57,B,Phrase match
57,B,Exact match
57,B,Broad match
57,A,Phrase match
57,A,Exact match
57,A,Broad match
57,USA,Phrase match
57,USA,Exact match
57,C,Phrase match
57,USA,Broad match
59,USA,Phrase match
60,C,Phrase match
60,C,Exact match
60,B,Phrase match
60,B,Exact match
60,A,Phrase match
59,USA,Exact match
60,USA,Phrase match
59,C,Phrase match
59,C,Exact match
59,B,Phrase match
59,B,Exact match
59,A,Phrase match
59,A,Exact match
60,USA,Exact match
56,C,Phrase match
56,C,Exact match
54,A,Phrase match
54,A,Exact match
54,USA,Phrase match
54,USA,Exact match
53,C,Exact match
53,B,Exact match
53,A,Exact match
53,USA,Phrase match
53,USA,Exact match
52,C,Phrase match
52,B,Phrase match
54,B,Exact match
54,B,Phrase match
56,B,Phrase match
56,B,Exact match
56,A,Phrase match
56,A,Exact match
56,USA,Phrase match
56,USA,Exact match
55,C,Phrase match
55,B,Phrase match
55,B,Exact match
55,A,Phrase match
55,A,Exact match
55,USA,Phrase match
55,USA,Exact match
54,C,Phrase match
54,C,Exact match
61,USA,Exact match
52,B,Exact match
61,USA,Phrase match
61,A,Exact match
67,A,Phrase match
67,USA,Phrase match
67,USA,Exact match
66,C,Phrase match
66,B,Exact match
66,A,Phrase match
66,A,Exact match
66,USA,Phrase match
66,USA,Exact match
65,C,Phrase match
65,C,Exact match
66,B,Phrase match
67,C,Phrase match
69,B,Exact match
69,A,Exact match
69,USA,Phrase match
69,USA,Exact match
68,B,Exact match
68,A,Phrase match
68,A,Exact match
68,USA,Phrase match
68,USA,Exact match
68,C,Exact match
65,B,Phrase match
65,B,Exact match
63,USA,Phrase match
63,USA,Exact match
62,C,Phrase match
62,C,Exact match
62,B,Phrase match
62,B,Exact match
62,A,Phrase match
62,A,Exact match
62,USA,Phrase match
62,USA,Exact match
61,C,Phrase match
61,C,Exact match
61,B,Phrase match
61,B,Exact match
61,A,Phrase match
63,A,Phrase match
65,A,Phrase match
65,A,Exact match
65,USA,Phrase match
65,USA,Exact match
64,C,Exact match
64,B,Exact match
64,A,Phrase match
64,A,Exact match
64,USA,Phrase match
64,USA,Exact match
63,C,Phrase match
63,B,Phrase match
63,B,Exact match
52,A,Phrase match
52,A,Exact match
41,USA,Phrase match
41,USA,Exact match
40,C,Phrase match
40,C,Exact match
40,B,Phrase match
40,B,Exact match
41,A,Exact match
40,A,Phrase match
40,USA,Phrase match
40,USA,Exact match
39,C,Phrase match
39,C,Exact match
39,B,Phrase match
39,B,Exact match
39,A,Phrase match
41,B,Exact match
43,A,Phrase match
43,A,Exact match
43,USA,Phrase match
43,USA,Exact match
42,C,Exact match
42,B,Exact match
42,A,Phrase match
42,A,Exact match
42,USA,Phrase match
42,USA,Exact match
41,C,Exact match
39,A,Exact match
39,USA,Phrase match
36,C,Exact match
36,B,Phrase match
36,B,Exact match
36,A,Phrase match
36,A,Exact match
36,USA,Phrase match
36,USA,Exact match
36,C,Phrase match
35,C,Exact match
35,B,Exact match
35,A,Exact match
35,USA,Phrase match
35,USA,Exact match
37,USA,Exact match
37,USA,Phrase match
39,USA,Exact match
38,C,Phrase match
38,B,Phrase match
38,B,Exact match
38,A,Phrase match
38,A,Exact match
38,USA,Phrase match
38,USA,Exact match
37,C,Phrase match
37,C,Exact match
37,B,Phrase match
37,B,Exact match
37,A,Phrase match
37,A,Exact match
43,B,Exact match
49,C,Phrase match
49,C,Exact match
49,B,Phrase match
49,B,Exact match
49,A,Phrase match
49,A,Exact match
50,USA,Exact match
49,USA,Phrase match
48,C,Exact match
48,B,Exact match
49,USA,Exact match
50,USA,Phrase match
52,USA,Phrase match
52,USA,Exact match
51,C,Phrase match
51,C,Exact match
51,B,Exact match
51,A,Phrase match
51,USA,Phrase match
51,USA,Exact match
50,C,Phrase match
50,B,Phrase match
50,B,Exact match
50,A,Phrase match
48,USA,Exact match
45,B,Exact match
45,A,Phrase match
45,A,Exact match
45,USA,Phrase match
45,USA,Exact match
44,C,Phrase match
44,C,Exact match
45,B,Phrase match
44,B,Exact match
44,A,Phrase match
44,A,Exact match
43,C,Exact match
44,B,Phrase match
45,C,Exact match
45,C,Phrase match
47,B,Exact match
47,USA,Phrase match
47,USA,Exact match
46,C,Phrase match
46,C,Exact match
46,B,Phrase match
46,B,Exact match
46,A,Phrase match
46,A,Exact match
46,USA,Phrase match
46,USA,Exact match
