Day,Keyword,Match type,Region,Avg. CPC,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Avg. monthly searches,Three month change,YoY change,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,Conv. value,Clicks
2025-12-07,about ai course,Broad match,USA,,,,,,50.0,0,0,Sunday,1,12,0,30,0.23900113540873938,-0.10799477772438455,0.22266728914757286,0.49208023486044933,0.06723369734549166,-0.3292395534975745,0.06177842167829877,-0.0642847996106435,-0.26021698328658366,0.03226274482907941,0.33174354991315397,-0.23616009352286005,0.13949712562094016,-0.13694651248691966,0.038632681872848844,-0.14660498565280547,0.25798525616650797,-0.011908592523255898,0.1702302846490843,0.012242367586436993,-0.12178725313919542,0.0867566179305825,-0.06812027408756424,0.013784222713602292,-0.014669524410783808,0.04067689253061277,-0.13649986640311776,-0.10367085919065124,-0.08723281377447839,-0.05263612523438335,-0.03433881135515125,-0.06966726492915164,0.006973253191556301,-0.11212909439424297,-0.016556048384279484,-0.05965981913108916,-0.0017113586741664222,0.04923559200452563,-0.04218225840385804,0.04833935792665267,-0.03260122292513556,0.04426184092197479,0.03239610163034415,0.03862796954679351,-0.016180253065463498,-0.03348351080534598,-0.016354338379207845,-0.017420060812136588,0.06679636446223484,-0.13111030827726866,0,0
2025-12-07,about artificial intelligence and machine learning course,Broad match,USA,,,,,,50.0,0,0,Sunday,1,12,0,30,0.6573794573956345,0.18906807106555368,-0.41376832596975327,-0.027541496796509586,0.0858583363065478,-0.01994807537617621,0.09682242689874018,0.029342934687847606,-0.07958324499037461,-0.07457690788542552,0.15003777279215888,-0.02655044185880399,0.006975250126831915,-0.05733281290547865,0.07331713379078382,-0.11078312557044728,-0.08129930828539218,0.08527612987102529,0.10754243500079637,-0.06152722896705031,-0.15751315495024418,0.1026309393842672,0.1612619458534538,-0.06310372945475529,-0.12366481172805353,-0.010335551611084789,-0.06579366123438204,0.020943511027114232,0.08125309575737942,-0.11578405349760497,0.08796131172851071,-0.09629805798359803,-0.0948767344138012,-0.17848033103905925,-0.10839655783704624,0.062496375069522464,0.028340211960268476,-0.052508296398980685,-0.046551919488135536,0.14506431410746037,-0.1610524359613079,0.003513304596854729,-0.024625661445908713,0.10178524630003145,0.035347676236414105,-0.05802823608728493,0.03829754126145656,-0.07312220596601603,-0.051124313090559294,-0.006959251428997617,0,0
2025-12-07,advanced ai course,Broad match,USA,2.535,High,71.0,5.07,13.98,50.0,0,0,Sunday,1,12,0,30,0.2380369454635899,-0.10154978583794476,0.22125785120879313,0.4898164690737422,0.06756386938198977,-0.3185114150761302,0.05862765092356534,-0.054653862633099494,-0.26515749557091717,0.04495019328510329,0.3232271134971687,-0.23900253400416477,0.13447443865960576,-0.14785706999551032,0.04927034400923305,-0.12812176702206385,0.27425530133228965,-0.02245656103864788,0.14236890114422232,0.017240691047108275,-0.12081249260339659,0.06847907162247363,-0.0804555314401407,0.010481751159138573,-0.005820857401638639,0.027108774988763816,-0.12179806167158651,-0.10493446472710119,-0.11396431347917993,-0.033817693113319267,-0.0432481976042343,-0.06798019176622573,0.0222420775845925,-0.1280475907856873,0.03583433445947814,-0.06026721040548188,0.031127977282567564,0.04349943882506538,-0.018571913413787066,-0.005709261528987222,-0.005815015779310979,0.06326077299262615,0.056235200642486466,0.009043013754662,-0.08698243581843665,0.07268737800481284,0.023256029769446365,0.012443130181767768,-0.043947883848709,-0.1476575661086578,0,0
2025-12-07,advanced artificial intelligence course,Broad match,USA,2.24,Medium,62.0,4.48,13.32,50000.0,0,0,Sunday,1,12,0,30,0.5036531353609502,-0.546597279591993,-0.32196736021981526,0.003076683636781158,0.15934179065739615,-0.17312026917873907,-0.09414729439514594,0.059054067241540185,-0.14720959073422588,-0.05334805809476577,0.09253006828112441,0.10916285507936978,-0.10463262899707379,0.0037167873283786,0.06459894302658967,0.04166405631423406,-0.03838628152200264,-0.0008343667527857012,0.08889571127965151,0.30073703977428634,0.010521043662387255,-0.03570065531294218,-0.11617439854242344,-0.0028736990114237937,-0.020725389187101154,0.09339211434758117,0.006981449781450068,0.03459581940871313,-0.09058585996348953,-0.09295195247941823,-0.09124557020283514,-0.04088083731015286,-0.06215576417420168,-0.10346775663804043,0.03777903161849329,-0.03920147222562081,0.013918197667027031,0.049962407665377524,-0.00820412675721611,0.025772440574496597,-0.06532015416840707,0.04203862260349724,-0.027929575134328585,0.010236352103773735,0.005501525492556481,0.05220183914628019,-0.03822555020022714,0.01967973743263757,-0.0990680380793327,-0.14168358088195107,0,0
2025-12-07,advanced certification in artificial intelligence and machine learning,Broad match,USA,,,,,,50.0,0,0,Sunday,1,12,0,30,0.6037926954582844,0.185328742514274,-0.32714515587195064,-0.16331110430882625,0.21769125945463924,0.10242774047869907,0.08056850983560333,0.14312548839479605,-0.06741177288723141,0.19580074547225776,-0.03129743733692046,-0.11537844355396935,-0.09077068804303853,-0.3078350757725505,0.16614804362444846,-0.07510175584486999,0.02565489632820882,0.08157166999035512,-0.059520719235028365,-0.09365810953996911,-0.17176370537698943,0.016516789626890474,0.12251295127291925,-0.08400300345247252,-0.0510469514202994,-0.0946627968409616,0.008356903173669099,0.027391042452441203,-0.004825381021686855,-0.07126178542261195,0.01305000456186657,-0.10155464907161986,0.00898161859495936,-0.1824525099238914,0.03269515733311654,0.0011357324307311994,0.06886930067115662,-0.024304956302624393,-0.09370288878118783,-0.028978827933156138,-0.012523179475958261,-0.03995741477536413,-0.03619964991871271,0.015881649586807954,-0.041871214407201464,0.030164672032052267,0.08540402465401802,0.014882354361039426,-0.13192146961354928,-0.09686704665972408,0,0
2025-12-07,ai & machine learning courses,Broad match,USA,3.62,Low,15.0,7.24,16.78,50.0,0,0,Sunday,1,12,0,30,0.3925352893682229,0.4418516561531687,-0.009533097696819244,-0.030466921773196102,-0.19332802519010392,0.011595966857060795,-0.10135594687601754,0.1006439466956854,-0.08529158444827994,0.06385673983638339,0.13053290770197343,-0.01985289541820311,0.03436709704153058,0.06859100206415149,-0.12403878422822145,0.2149649013502235,0.014273105552660266,-0.29392321339466365,-0.046512289062226826,0.21565511333533538,-0.15328449973033942,-0.004366885341922452,-0.03532657453367768,-0.07867279483628394,-0.04693804862266293,0.0881710238031017,0.10624866436060386,-0.19846230361421094,-0.25529499546655565,-0.030524490439485668,-0.2296466680304173,0.11160315170091627,0.05422472954383292,0.04227210005517998,0.011499083282638671,0.0619955791524882,0.10619786739064405,-0.2427722854756926,0.13056811693075154,-0.04097549896582683,0.10712580407542344,-0.05402990825841054,-0.026153304487593183,0.07382886604241079,-0.07862208339556519,-0.025533859757252572,0.0029925473982401803,0.0001350559738307492,-0.09131827497521369,0.0628980375882272,0,0
2025-12-07,ai & ml course,Broad match,USA,3.125,High,78.0,6.25,18.48,50.0,0,0,Sunday,1,12,0,30,0.14641355925884478,-0.020572066446457416,0.19079828448478658,0.20414055252004965,0.26243488197013937,-0.27290230834557444,0.14621120578290753,-0.17205737988664918,0.0978488605108131,-0.14251528094047836,-0.04533175191615863,0.3102814507331782,-0.049818137976982424,-0.00914752995021173,-0.07191174597311104,0.3625251522107082,0.1633068431033728,-0.13852255854528334,-0.011397372895214884,-0.07679925706780405,-0.2108293346151552,0.05251343033041337,0.27622279494861723,-0.3068699569997775,-0.09462815669242412,-0.04563135187136555,0.27100955616289113,0.09849411597408697,0.06329814831495381,-0.008411722656990455,-0.0034383524664988807,-0.03142870165548851,-0.09570690580754664,0.0235451566649787,0.10883422139167305,-0.00044947382703573274,-0.01295779792807019,0.11927988397719466,0.008077467292684751,0.011031972097346658,-0.022930507901793195,0.13157192534752765,-0.012829132041177112,0.011971894447105976,-0.05086729424739946,0.03417015703913856,0.028190218868023992,0.019077779814366518,0.007023570431095541,-0.10142079812065873,0,0
2025-12-07,ai adoption challenges,Broad match,USA,2.25,Low,18.0,4.5,22.2,500.0,0,0,Sunday,1,12,0,30,0.10722929238277779,0.051155899770377516,0.2154864888188799,0.09526428659322235,0.03183316537620709,-0.11194553257462633,-0.05510688634456947,0.02700512479575895,0.043744662590232374,0.05953263202991654,0.048007449478597246,-0.148988108801768,-0.032736979941809276,-0.05135793639942578,-0.09669272600243316,0.10139465515182268,-0.058668943445623366,0.036290657472318355,0.11373307581343892,0.11633306981607391,-0.035742055043559984,-0.0819091161759745,0.052161862840236946,-0.0051550357084942265,0.06247560195839005,-0.02967168480669753,0.06944415085640152,-0.045380633387831326,-0.007796845721160708,-0.05247298311871203,-6.490938557304273e-05,-0.05720409279910151,0.0015650488154371042,-0.014062717057957839,0.024384362238178057,0.0002640149498082628,-0.05931276842647614,-0.0518781372523484,0.0495522981750633,0.1576637763894156,0.06241010465987372,0.301956012542202,-0.26425195465132034,0.08162245229048536,0.2666677662772186,0.03860093868607962,0.041415416849730206,-0.26265387547315067,0.5066045438633803,-0.4407008611670617,0,0
2025-12-07,ai and machine learning certificate,Broad match,USA,3.52,High,76.0,7.04,17.75,5000.0,0,0,Sunday,1,12,0,30,0.5152372451926924,0.530138433964109,-0.1215146660212568,0.060580465848022985,-0.05090987825307993,-0.11254021601469942,0.2791606522759644,0.24037308980005673,0.05420238347544606,0.06064166352490005,-0.13658440962740573,0.0017254097230693776,-0.06108927025217976,-0.011336946800246077,-0.08672315977364851,-0.06537294123386896,-0.14455838852187006,-0.022094666129010516,0.12353678990421622,-0.08920973192944637,0.026849480371174406,-0.09572167474105164,-0.04928859970946802,0.06314219256357358,-0.08964366460545774,-0.04110111125267226,-0.050355408441925306,0.06890790294415161,-0.11404438994873145,0.014247897169089594,0.03776910040879905,0.03404092869032993,0.02219729994998294,0.0493110106079433,0.13316653444266927,-0.019222379737531325,0.044559634145007875,0.023317315321301584,0.03796960646258799,-0.00045402905107425566,-0.021470132891706295,0.0027037104928540855,-0.07525090388648148,0.007828881312100678,-0.010372772808523181,0.07034766664215497,-0.09617039122199526,0.09988112836746713,0.2893269159276555,-0.10130134980924568,0,0
2025-12-07,ai and machine learning certification course,Broad match,USA,3.725,High,88.0,7.45,21.0,50.0,0,0,Sunday,1,12,0,30,0.5744761161205276,0.48637285056773144,-0.01773040138362706,0.05904410510927751,0.3098933288195162,0.10017868256358699,0.2562536031794282,0.10334659315556728,-0.23287707211078412,-0.062422894006986106,0.00345693079544121,-0.12414428946779386,-0.19095554466213976,-0.05177915361556298,-0.004498806392816097,-0.09228802005559979,-0.10742111955918815,0.018684350984799484,-0.009984076453771114,-0.014788758984294506,0.004633448035023994,-0.061873715806278054,0.02268591296072155,0.04222288237992714,-0.10107547383265798,-0.05434103232819733,-0.006123181114884188,0.06773179340590563,-0.08712110410979085,0.012950740709756077,0.07510676029245399,0.013486327485144323,0.022782380187736928,0.03629808407632113,0.11616232516517708,0.04774042276103781,0.01608848141555192,-0.015316405382066235,-0.02166727151678793,0.07699070976532107,-0.06632261125410914,0.05797185884743134,0.04370963811918162,-0.04622694096246357,0.11284897522821181,0.02476472316667972,-0.1413282200483137,0.05397110796476191,0.04052781938395788,0.045325701479384445,0,0
