feature,weight
Three month change,-0.18093015717473374
Avg_ monthly searches,3.852031208746948e-05
tfidf_40,4.206464893766958
tfidf_23,11.540700417100474
tfidf_21,-2.717950929354397
tfidf_35,2.28887581592817
tfidf_31,5.471127116494663
YoY change,0.08516422483780563
tfidf_41,-4.004682888216901
tfidf_46,2.058767746499396
tfidf_32,-3.444167073348514
tfidf_34,2.2075829649762957
days_to_next_course_start,-0.0022819592740173904
tfidf_11,-1.364740890948666
tfidf_27,7.845943584562874
Avg_ CPC,0.16498967171426254
tfidf_33,-2.3288275296731116
tfidf_26,-6.446503440424247
tfidf_37,4.1820525914787945
month,-0.03996612686459423
tfidf_29,-2.5331928129377888
