day,rows,budget,budget_used,topk_expected_profit,sum_pred_conv_topk,sum_pred_clicks_topk
2025-10-01,675,336.31935483870967,336.3193548387245,2761.682609250187,3062.5258646548345,13.706608990808666
2025-10-02,675,336.31935483870967,336.31935483870984,2647.259509248138,2870.0562057041466,8.11100053609712
2025-10-03,675,336.31935483870967,336.31935483871126,2601.920274424192,2824.6423344916507,5.907357146790337
2025-10-04,675,336.31935483870967,336.3193555748561,2703.6576624877234,2994.8929132255967,9.990872665572837
2025-10-05,675,336.31935483870967,336.3193548385283,2206.9950408376144,2394.5828575380942,9.042700826933281
2025-10-06,675,336.31935483870967,336.31935483872314,2777.6765126698438,3074.2758029808356,10.000000000000753
2025-10-07,675,336.31935483870967,336.31935483872314,2777.6765126698438,3074.2758029808356,10.000000000000753
2025-10-08,675,336.31935483870967,336.3193548387116,2751.713813006451,3026.7760618209304,9.192117470409809
2025-10-09,675,336.31935483870967,336.3193548387116,2751.713813006451,3026.7760618209304,9.192117470409809
2025-10-10,675,336.31935483870967,336.3193548387116,2751.713813006451,3026.7760618209304,9.192117470409809
2025-10-11,675,336.31935483870967,336.31935483871126,2777.6765126698465,3074.2758029808424,10.000000000000863
2025-10-12,675,336.31935483870967,336.31935483871126,2777.6765126698465,3074.2758029808424,10.000000000000863
2025-10-13,675,336.31935483870967,336.31935483871126,2777.6765126698465,3074.2758029808424,10.000000000000863
2025-10-14,675,336.31935483870967,336.31935483871126,2777.6765126698465,3074.2758029808424,10.000000000000863
2025-10-15,675,336.31935483870967,336.3193548387122,2749.895845726589,3083.74838076033,14.630638744013638
2025-10-16,675,336.31935483870967,336.31935483871325,2513.0050855276163,2830.5193136579405,15.770385739271584
2025-10-17,675,336.31935483870967,336.31935483870956,2462.1525573978233,2740.712051984904,10.40157752321805
2025-10-18,675,336.31935483870967,336.31935483871234,2482.3595818724143,2781.046865370297,14.630638744013073
2025-10-19,675,336.31935483870967,336.31935483871194,2348.6810460535357,2602.0138781498536,10.392941264487295
2025-10-20,675,336.31935483870967,336.31935483870893,2502.423645271475,2769.607723943687,12.762778746808214
2025-10-21,675,336.31935483870967,336.3193548387145,2463.099982674356,2723.4194969104087,10.00000000000064
2025-10-22,675,336.31935483870967,336.3193548387361,2329.2827715715744,2571.4043207925615,11.460649028124964
2025-10-23,675,336.31935483870967,336.3193548387098,2706.884495227088,2996.367339716267,9.998333702960302
2025-10-24,675,336.31935483870967,336.31935483871223,2869.5216645453875,3204.101108269177,14.608537049859086
2025-10-25,675,336.31935483870967,336.319354838713,2501.865445692696,2770.2518062073877,10.000000000001691
2025-10-26,675,336.31935483870967,336.31935483871194,2755.0912195452534,3046.8825039331455,10.139897543463258
2025-10-27,675,336.31935483870967,336.3193548387567,2336.9486721731196,2617.0065261008867,14.63063874401353
2025-10-28,675,336.31935483870967,336.31935483870944,2509.869761744651,2764.936693506871,8.999999999998312
2025-10-29,675,336.31935483870967,336.31935483872445,2038.4525153651425,2142.6164088250603,5.4937620408228245
2025-10-30,675,336.31935483870967,336.3193548385963,2136.4464440499546,2340.6969275461734,9.886620634700707
2025-10-31,675,336.31935483870967,336.31935483871104,2370.6050518853845,2619.6319230622607,9.999999999999389
