bid,keyword,region,match,active,predicted_conv_value,predicted_clicks,predicted_profit
26.912288319541446,free online ai course with certificate,USA,Exact match,1.0,287.78032121060926,1.0,260.8680328910678
24.586811510044672,ai roadmap planning,A,Exact match,1.0,247.96142033430843,1.0,223.37460882426376
20.810141312493045,artificial intelligence course free,B,Exact match,1.0,215.8198886605466,1.0,195.00974734805357
19.027331869595656,artificial intelligence course free,A,Phrase match,1.0,198.06496693285573,1.0,179.03763506326007
18.32723279621059,best ai courses for beginners,A,Exact match,1.0,197.6390423357219,1.0,179.31180953951133
17.695317917972222,artificial intelligence and machine learning online course free,B,Exact match,1.0,180.4309732942808,1.0,162.73565537630856
16.471008220653662,artificial intelligence courses for free,B,Exact match,1.0,165.7742327604526,1.0,149.30322453979895
16.08476538948422,artificial intelligence program,USA,Exact match,1.0,292.7599922880479,1.0,276.67522689856366
15.94687052451875,artificial intelligence free course with certificate,B,Exact match,1.0,203.54127497976998,1.0,187.59440445525124
14.793220443311208,mit artificial intelligence course free,B,Exact match,1.0,169.09063604716707,1.0,154.29741560385585
13.010411000414518,mit artificial intelligence course free,A,Phrase match,1.0,151.33571431948315,1.0,138.32530331906864
12.721903149851478,artificial intelligence courses for free,USA,Phrase match,1.0,128.43705836631122,1.0,115.71515521645975
12.377128846158083,best ai certification courses,A,Phrase match,1.0,128.81519006792496,1.0,116.43806122176687
12.335845785665068,ai short courses,B,Phrase match,1.0,164.9981578271798,1.0,152.66231204151472
12.2168948051532,future of work ai,B,Phrase match,1.0,154.00804471342235,1.0,141.79114990826915
11.245161508349277,artificial science course,USA,Exact match,1.0,172.59380693349436,1.0,161.3486454251451
11.056538565754442,best ai certificate,A,Exact match,1.0,131.83675245201977,1.0,120.78021388626533
10.88520793094959,learning ai,A,Phrase match,1.0,267.2682448337502,1.0,256.3830369028006
10.351511655215297,best ai training,USA,Exact match,1.0,118.25895623827806,1.0,107.90744458306276
9.368918366529414,course content of artificial intelligence,A,Phrase match,1.0,155.0699939386226,1.0,145.70107557209317
8.95146853667012,best ai and ml certification,A,Phrase match,1.0,121.51702484946816,1.0,112.56555631279804
8.568702212318597,best ai training,A,Phrase match,1.0,100.50403451059401,1.0,91.93533229827541
8.229503061321154,artificial intelligence and machine learning mit,A,Exact match,1.0,134.55048501176014,1.0,126.32098195043899
7.496056437546387,artificial science course,USA,Phrase match,1.0,135.25663253934596,1.0,127.76057610179957
5.729188894195292,automating workflows with ai,C,Exact match,1.0,63.463801946446665,1.0,57.734613052251376
4.670995737604308,best online courses for artificial intelligence and machine learning,USA,Exact match,1.0,48.727351064471996,1.0,44.05635532686769
4.343070854516224,best artificial intelligence training,B,Exact match,1.0,62.31688769638902,1.0,57.97381684187279
