bid,keyword,region,match,predicted_conv_value,predicted_clicks,predicted_profit
16.39656531154382,google generative ai course,USA,Broad match,175.14549656973793,-4.079253110567498,242.0312366194762
16.39656531154382,generative ai training course,B,Broad match,175.14549656973793,-4.079253110567498,242.0312366194762
16.39656531154382,generative ai training course,USA,Broad match,175.14549656973793,-4.079253110567498,242.0312366194762
8.949672619397045,best generative ai course,A,Broad match,97.19462605026062,-2.838379781202725,122.59719586154083
8.949672619397045,best generative ai course,B,Broad match,97.19462605026062,-2.838379781202725,122.59719586154083
8.949672619397045,online ai and ml courses,B,Exact match,97.19462605026062,-2.838379781202725,122.59719586154083
8.949672619397045,online ai and ml courses,B,Broad match,97.19462605026062,-2.838379781202725,122.59719586154083
8.949672619397045,best generative ai course,A,Phrase match,97.19462605026062,-2.838379781202725,122.59719586154083
8.949672619397045,best generative ai course,A,Exact match,97.19462605026062,-2.838379781202725,122.59719586154083
8.949672619397045,best generative ai course,B,Phrase match,97.19462605026062,-2.838379781202725,122.59719586154083
8.949672619397045,best generative ai course,B,Exact match,97.19462605026062,-2.838379781202725,122.59719586154083
7.6167280447695624,best ai certification,C,Broad match,38.31245569050865,-2.616271656301818,58.239885387798424
7.6167280447695624,best introduction to artificial intelligence,A,Broad match,38.31245569050865,-2.616271656301818,58.239885387798424
7.6167280447695624,best introduction to artificial intelligence,A,Exact match,38.31245569050865,-2.616271656301818,58.239885387798424
6.690750882969226,artificial intelligence certification,B,Phrase match,43.957274187545615,-2.461976380245706,60.42974482752395
6.690750882969226,artificial intelligence certification,B,Broad match,43.957274187545615,-2.461976380245706,60.42974482752395
6.690750882969226,artificial intelligence certification,B,Exact match,43.957274187545615,-2.461976380245706,60.42974482752395
6.690750882969226,artificial intelligence certification,C,Phrase match,43.957274187545615,-2.461976380245706,60.42974482752395
6.690750882969226,executive education ai,USA,Broad match,43.957274187545615,-2.461976380245706,60.42974482752395
6.690750882969226,artificial intelligence certification,C,Broad match,43.957274187545615,-2.461976380245706,60.42974482752395
6.690750882969226,artificial intelligence certification,C,Exact match,43.957274187545615,-2.461976380245706,60.42974482752395
6.450750882972382,executive education ai,C,Exact match,46.30856649208411,-2.4219852575908796,61.932190031034565
5.7123014305734126,best introduction to artificial intelligence,B,Phrase match,73.91219989441636,-2.298937663316736,87.04442479737965
5.7123014305734126,best introduction to artificial intelligence,USA,Phrase match,73.91219989441636,-2.298937663316736,87.04442479737965
5.7123014305734126,best ai certification,C,Exact match,73.91219989441636,-2.298937663316736,87.04442479737965
5.1909763731761815,artificial intelligence for enterprise,A,Broad match,59.610922049839495,-2.212069437008711,71.09372223317685
4.6992477880081225,machine learning engineer training,C,Phrase match,29.11129417341042,-2.1301328613295936,39.12131631017692
4.6992477880081225,mit ai class,B,Phrase match,29.11129417341042,-2.1301328613295936,39.12131631017692
4.6992477880081225,mit ai class,USA,Exact match,29.11129417341042,-2.1301328613295936,39.12131631017692
4.6992477880081225,machine learning engineer training,C,Exact match,29.11129417341042,-2.1301328613295936,39.12131631017692
4.6992477880081225,mit ai class,A,Broad match,29.11129417341042,-2.1301328613295936,39.12131631017692
4.359425908950964,generative ai training course,B,Phrase match,68.84143885539811,-2.07350845113487,77.88074531970425
4.359425908950964,generative ai training course,B,Exact match,68.84143885539811,-2.07350845113487,77.88074531970425
4.359425908950964,best place to study artificial intelligence,C,Phrase match,68.84143885539811,-2.07350845113487,77.88074531970425
4.174247788023129,mit ai class,USA,Broad match,34.25474608966776,-2.0426522805208105,42.78128285333216
3.9952490905999025,best ai certification,A,Broad match,11.86867446966972,-2.0128257852537543,19.910414857740818
3.9952490905999025,best ai certification,USA,Phrase match,11.86867446966972,-2.0128257852537543,19.910414857740818
3.627681710769805,mit artificial intelligence course,A,Broad match,38.49317303044933,-1.9515781512052541,45.572877396714574
3.627681710769805,google generative ai course,USA,Phrase match,38.49317303044933,-1.9515781512052541,45.572877396714574
3.627681710769805,google generative ai course,A,Exact match,38.49317303044933,-1.9515781512052541,45.572877396714574
3.627681710769805,google generative ai course,A,Broad match,38.49317303044933,-1.9515781512052541,45.572877396714574
3.627681710769805,google generative ai course,B,Broad match,38.49317303044933,-1.9515781512052541,45.572877396714574
3.596528424184734,best ai ml courses for working professionals,A,Broad match,58.37094546496271,-1.9463870891010258,65.37118195538073
3.596528424184734,best ai ml courses for working professionals,USA,Broad match,58.37094546496271,-1.9463870891010258,65.37118195538073
3.596528424184734,best ai ml courses for working professionals,USA,Exact match,58.37094546496271,-1.9463870891010258,65.37118195538073
3.596528424184734,ai short course,C,Broad match,58.37094546496271,-1.9463870891010258,65.37118195538073
3.596528424184734,ai related certifications,A,Phrase match,58.37094546496271,-1.9463870891010258,65.37118195538073
3.596528424184734,ai related certifications,A,Exact match,58.37094546496271,-1.9463870891010258,65.37118195538073
3.596528424184734,best ai ml courses for working professionals,USA,Phrase match,58.37094546496271,-1.9463870891010258,65.37118195538073
3.3702490906258546,best ai certification,A,Exact match,17.991831512912448,-1.908682236670522,24.424566085345
3.284247788059438,mit ai class,A,Phrase match,42.97412171923909,-1.8943518673383961,49.195642649351484
3.209066908955292,ai certification mit,A,Phrase match,9.006041632728177,-1.8818245016807693,15.044942369533217
3.209066908955292,ai strategy course,B,Exact match,9.006041632728177,-1.8818245016807693,15.044942369533217
3.209066908955292,ai strategy course,B,Broad match,9.006041632728177,-1.8818245016807693,15.044942369533217
3.209066908955292,ai strategy course,A,Phrase match,9.006041632728177,-1.8818245016807693,15.044942369533217
