bid,keyword,region,match,predicted_conv_value,predicted_clicks,predicted_profit
17.869532282205324,ai graphic design course,USA,Exact match,189.57622949853055,-4.364762261977519,267.57248964308934
17.869532282205324,ai graphic design course,A,Exact match,189.57622949853055,-4.364762261977519,267.57248964308934
17.869532282205324,ai graphic design course,B,Exact match,189.57622949853055,-4.364762261977519,267.57248964308934
10.422639590525883,best place to study artificial intelligence,A,Exact match,111.62535898363174,-3.1238889325348747,144.18452744827536
10.422639590525883,best place to study artificial intelligence,USA,Exact match,111.62535898363174,-3.1238889325348747,144.18452744827536
10.422639590525883,best place to study artificial intelligence,B,Exact match,111.62535898363174,-3.1238889325348747,144.18452744827536
8.82943851670891,best place to study artificial intelligence,B,Phrase match,96.01668638196901,-2.8584143509853543,121.2548801492726
8.82943851670891,best place to study artificial intelligence,A,Phrase match,96.01668638196901,-2.8584143509853543,121.2548801492726
8.82943851670891,best place to study artificial intelligence,USA,Phrase match,96.01668638196901,-2.8584143509853543,121.2548801492726
8.16371785437989,bootcamp ai,B,Exact match,58.3880071236778,-2.7474855315308946,80.81770381208699
8.16371785437989,bootcamp ai,A,Exact match,58.3880071236778,-2.7474855315308946,80.81770381208699
8.16371785437989,bootcamp ai,USA,Exact match,58.3880071236778,-2.7474855315308946,80.81770381208699
7.580507419417696,northeastern university artificial intelligence,USA,Exact match,55.52270769918133,-2.6503053646712162,75.61336717979401
7.4964939422973575,professional certificate in AI,B,Phrase match,37.13451602433252,-2.6363062260484664,56.897569677945654
7.4964939422973575,professional certificate in AI,USA,Phrase match,37.13451602433252,-2.6363062260484664,56.897569677945654
7.4964939422973575,professional certificate in AI,A,Phrase match,37.13451602433252,-2.6363062260484664,56.897569677945654
7.185268402156908,generative ai fundamentals,USA,Exact match,88.34293283224179,-2.5844468145731256,106.91287686604915
7.185268402156908,generative ai fundamentals,B,Exact match,88.34293283224179,-2.5844468145731256,106.91287686604915
7.185268402156908,generative ai fundamentals,A,Exact match,88.34293283224179,-2.5844468145731256,106.91287686604915
6.570516780696536,bootcamp ai,A,Phrase match,42.779334523324145,-2.48201094995911,59.08742911990303
6.570516780696536,bootcamp ai,B,Phrase match,42.779334523324145,-2.48201094995911,59.08742911990303
6.570516780696536,bootcamp ai,USA,Phrase match,42.779334523324145,-2.48201094995911,59.08742911990303
6.17221475982461,mit ai class,USA,Exact match,43.542027113518486,-2.41564201254716,58.45188839781449
6.17221475982461,mit ai class,A,Exact match,43.542027113518486,-2.41564201254716,58.45188839781449
6.17221475982461,mit ai class,B,Exact match,43.542027113518486,-2.41564201254716,58.45188839781449
5.832392880862706,ai for executives,USA,Exact match,83.27217179643938,-2.3590176023365634,97.03088926613697
5.832392880862706,ai for executives,A,Exact match,83.27217179643938,-2.3590176023365634,97.03088926613697
5.832392880862706,ai for executives,B,Exact match,83.27217179643938,-2.3590176023365634,97.03088926613697
5.468216062626095,MIT generative AI certificate,USA,Exact match,26.299407411832277,-2.2983349364363774,38.8671994285484
5.100648682927096,artificial intelligence bootcamp online,A,Exact match,52.92390597389626,-2.237087302366032,64.3345023763025
5.100648682927096,artificial intelligence bootcamp online,USA,Exact match,52.92390597389626,-2.237087302366032,64.3345023763025
5.069495396353965,artificial intelligence online program,A,Exact match,72.80167840852661,-2.2318962402598146,84.11626612366346
5.069495396353965,artificial intelligence online program,USA,Exact match,72.80167840852661,-2.2318962402598146,84.11626612366346
5.069495396353965,artificial intelligence online program,B,Exact match,72.80167840852661,-2.2318962402598146,84.11626612366346
4.682033881285331,graduate certificate artificial intelligence,USA,Exact match,23.43677457786753,-2.1673336528127627,33.58430417238678
4.579013686430396,mit ai class,B,Phrase match,27.933354515997543,-2.1501674309271954,37.77900061033005
4.579013686430396,mit ai class,A,Phrase match,27.933354515997543,-2.1501674309271954,37.77900061033005
4.579013686430396,mit ai class,USA,Phrase match,27.933354515997543,-2.1501674309271954,37.77900061033005
4.095256396210616,AI for engineers,USA,Exact match,70.78348340315955,-2.0695591094658314,79.25885858353544
4.095256396210616,AI for engineers,A,Exact match,70.78348340315955,-2.0695591094658314,79.25885858353544
4.095256396210616,AI for engineers,B,Exact match,70.78348340315955,-2.0695591094658314,79.25885858353544
4.0547093793618,mit ai certificate,USA,Exact match,10.210907613727088,-2.062802773106633,18.57497336561608
3.758379516228327,best place to study artificial intelligence,C,Exact match,46.33526136724451,-2.0134254234410727,53.902478236158785
3.6587876754761957,generative ai course mit,B,Exact match,-24.929986120753803,-1.9968304670859707,-17.62400741776428
3.6587876754761957,generative ai course mit,USA,Exact match,-24.929986120753803,-1.9968304670859707,-17.62400741776428
3.6587876754761957,generative ai course mit,A,Exact match,-24.929986120753803,-1.9968304670859707,-17.62400741776428
3.507447609887823,artificial intelligence bootcamp online,USA,Phrase match,37.31523337985269,-1.9716127206869245,44.230561704650476
3.507447609887823,artificial intelligence bootcamp online,A,Phrase match,37.31523337985269,-1.9716127206869245,44.230561704650476
3.4762943233293595,artificial intelligence online program,A,Phrase match,57.19300581462675,-1.9664216585782628,64.02886626361428
3.4762943233293595,artificial intelligence online program,USA,Phrase match,57.19300581462675,-1.9664216585782628,64.02886626361428
3.4762943233293595,artificial intelligence online program,B,Phrase match,57.19300581462675,-1.9664216585782628,64.02886626361428
3.088832808475429,graduate certificate artificial intelligence,USA,Phrase match,7.828101986071125,-1.9018590710954344,13.702626681967306
3.088832808475429,graduate certificate artificial intelligence,A,Phrase match,7.828101986071125,-1.9018590710954344,13.702626681967306
