day,rows,budget,budget_used,topk_expected_profit,sum_pred_conv_topk,sum_pred_clicks_topk
2025-10-01,675,336.31935483870967,336.3193548387113,1175.5288573044006,1298.0034983569935,10.519717465900104
2025-10-02,675,336.31935483870967,336.31935483863936,1077.6037049221457,1191.5697781954163,10.178188845453061
2025-10-03,675,336.31935483870967,336.3193548387346,1097.5553805467741,1210.5634691489288,10.697906311705191
2025-10-04,675,336.31935483870967,336.3193548387209,1186.6470355732374,1298.2473012686298,10.000000000000625
2025-10-05,675,336.31935483870967,336.3193548387143,1207.8646494614327,1322.5973280138226,10.00000000000177
2025-10-06,675,336.31935483870967,336.3193548387204,1147.6928651524377,1261.1070747069039,10.519717465901236
2025-10-07,675,336.31935483870967,336.3193548387204,1147.6928651524377,1261.1070747069039,10.519717465901236
2025-10-08,675,336.31935483870967,336.3193548387205,1147.6928651524377,1261.1070747069039,10.519717465901236
2025-10-09,675,336.31935483870967,336.3193548387205,1147.6928651524377,1261.1070747069039,10.519717465901236
2025-10-10,675,336.31935483870967,336.3193548387205,1147.6928651524377,1261.1070747069039,10.519717465901236
2025-10-11,675,336.31935483870967,336.3193548387215,1105.7625165059985,1210.7278764447733,10.000000000000515
2025-10-12,675,336.31935483870967,336.3193548387215,1105.7625165059985,1210.7278764447733,10.000000000000515
2025-10-13,675,336.31935483870967,336.3193548387215,1105.7625165059985,1210.7278764447733,10.000000000000515
2025-10-14,675,336.31935483870967,336.3193548387215,1105.7625165059985,1210.7278764447733,10.000000000000515
2025-10-15,675,336.31935483870967,336.31935483872434,1056.8877524840782,1157.431184271163,9.964570594664815
2025-10-16,675,336.31935483870967,336.3193548387212,1161.6829765497669,1280.980330765757,10.51971746590008
2025-10-17,675,336.31935483870967,336.31935483871996,1113.0784692187533,1214.5002350741997,10.000000000001318
2025-10-18,675,336.31935483870967,336.3193548387084,1230.9781564863829,1365.6114871420398,11.912230295169515
2025-10-19,675,336.31935483870967,336.3193548387121,1235.4644154284542,1361.1678878370692,10.519717465901017
2025-10-20,675,336.31935483870967,336.3193548387482,1069.0850289998277,1180.465979244274,10.697906311352419
2025-10-21,675,336.31935483870967,336.3193548387096,1140.9116250176464,1260.4162447662218,10.697906311351318
2025-10-22,675,336.31935483870967,336.319354838718,1225.2185410459322,1346.492754433521,10.51971746590078
2025-10-23,675,336.31935483870967,336.3193548387221,1151.0239146685983,1259.82854374465,10.00000000000017
2025-10-24,675,336.31935483870967,336.3193548387097,1087.0668418061437,1193.2371561240866,10.000000000000238
2025-10-25,675,336.31935483870967,336.3193548387203,1127.0542431352656,1247.2815095358374,10.519717465900342
2025-10-26,675,336.31935483870967,336.3193548387294,1245.6231971761167,1365.9164456801186,10.380353269217412
2025-10-27,675,336.31935483870967,336.3193548387147,1176.8306114815298,1293.6614426075366,10.17818884544446
2025-10-28,675,336.31935483870967,336.31935483872576,1027.884249084934,1132.3811016285158,10.000000000000506
2025-10-29,675,336.31935483870967,336.3193548387221,1013.2952052232797,1113.3076773936793,10.000000000001096
2025-10-30,675,336.31935483870967,336.31935483871575,1075.744567570042,1183.2673151365007,10.161338956612717
2025-10-31,675,336.31935483870967,336.31935483879545,1290.905914592634,1436.9154485335139,11.912230295169614
