bid,keyword,region,match,active,predicted_conv_value,predicted_clicks,predicted_profit
0.48,executive education ai,USA,Phrase match,1,5.767700103,1,5.29
0.46,ai courses for executives,A,Phrase match,1,39.69847063,1,39.24
0.43,prompt engineering course,B,Phrase match,1,5.303011838,1,4.87
0.10,ai generated courses,B,Exact match,1,28.20233819,1,28.10
0.07,diploma in artificial intelligence,USA,Exact match,1,25.46296284,1,25.39
0.06,ai for managers course,B,Exact match,1,15.84725482,1,15.79
0.02,coursera generative ai,USA,Exact match,1,38.75366314,1,38.74
0.02,certification for artificial intelligence,A,Exact match,1,35.71513579,1,35.70
0.02,generative ai courses online,B,Exact match,1,16.99716234,1,16.98
0.02,coursera generative ai,B,Exact match,1,68.61513832,1,68.60
0.02,certification for artificial intelligence,USA,Exact match,1,27.57108368,1,27.56
0.02,mit ai certificate,USA,Exact match,1,16.00901116,1,15.99
0.02,course on generative ai,A,Phrase match,1,31.65590588,1,31.64
0.02,mit ai course,A,Phrase match,1,19.72070467,1,19.71
0.01,artificial intelligence training,A,Exact match,1,31.74932854,1.030252246,31.74
0.01,courses about ai,USA,Exact match,1,25.25541426,1.06396771,25.24
0.01,MIT artificial intelligence course,A,Phrase match,1,1.804495265,1.100804995,1.79
0.01,artificial intelligence master's degree online,USA,Phrase match,1,2.306050981,1.210102186,2.29
0.01,ai courses for executives,B,Phrase match,1,35.24024272,1.206549196,35.23
0.01,diploma in artificial intelligence,A,Phrase match,1,24.37095877,1.236947823,24.36
0.01,generative ai course mit,B,Phrase match,1,24.78852807,1.240670776,24.78
0.01,ai course for business leaders,B,Exact match,1,29.91807243,1.242259106,29.91
0.01,ai for managers course,A,Phrase match,1,15.343134,1.251034036,15.33
0.01,generative ai course online,C,Exact match,1,2.001190381,1.285321619,1.99
0.01,courses on artificial intelligence,B,Exact match,1,91.95398653,1.316709722,91.94
0.01,artificial intelligence training,USA,Exact match,1,29.28143663,1.331851124,29.27
0.01,courses on artificial intelligence,USA,Exact match,1,103.3062867,1.341747594,103.29
0.01,courses about ai,A,Phrase match,1,25.25541403,1.358112855,25.24
0.01,executive education ai,B,Phrase match,1,48.74733139,1.358163796,48.73
0.01,best ai classes online,A,Exact match,1,68.64340857,1.400187405,68.63
0.01,ai certification classes,C,Exact match,1,3.781527807,1.855056487,3.76
0.01,graduate certificate artificial intelligence,C,Phrase match,1,26.84747777,1.441149699,26.83
0.01,best ai classes online,A,Phrase match,1,57.78468667,1.518683543,57.77
0.01,ai for product managers,A,Exact match,1,20.77178967,1.53096289,20.76
0.01,diploma in artificial intelligence,B,Phrase match,1,27.8260066,1.553347596,27.81
0.01,ai for managers course,B,Phrase match,1,14.60276656,1.568606627,14.59
0.01,artificial intelligence bootcamp online,A,Phrase match,1,41.60445865,1.576384671,41.59
0.01,courses on artificial intelligence,A,Phrase match,1,97.63013658,1.623373803,97.61
0.01,courses about ai,USA,Phrase match,1,25.255414,1.682531325,25.24
0.01,MIT xPRO AI course,A,Exact match,1,6.270027586,2.458389497,6.25
0.01,course in generative ai,C,Phrase match,1,5.30772224,1.705752731,5.29
0.01,best ai classes online,B,Exact match,1,69.63056509,1.733733712,69.61
0.01,course generator ai,C,Exact match,1,24.61390869,1.739503058,24.60
0.01,ai related certifications,C,Phrase match,1,49.85775605,2.540836552,49.83
0.01,generative ai courses online,C,Exact match,1,10.53033249,1.755804354,10.51
0.01,artificial intelligence workshop,C,Phrase match,1,3.477149523,1.816297435,3.46
0.01,MIT xPRO AI course,USA,Exact match,1,7.503973251,2.794217763,7.48
0.01,artificial intelligence bootcamp online,USA,Phrase match,1,44.81271738,1.890502485,44.79
0.01,ai for product managers,USA,Exact match,1,34.59198115,1.903238825,34.57
